handle,match,label,unit,full
Operator1,,Operator,,true
Height,Height: (.*) cm,Height,cm,
Weight,Weight: (.*) kg,Weight,kg,
BSA,BSA: (.*) m²,BSA,m2,
HR,HR (.*),HR,bpm,
BP,BP: (.*),BP,mmHg,
DOB,DOB: (.*),Date of Birth,,true
Gender,Gender: (.*),Gender,,
Age,,Age,years,
IVSd,IVSd (.*) cm,IVSd,cm,
LVIDd,LVIDd (.*) cm,LVIDd,cm,
LVIDs,LVIDs (.*) cm,LVIDs,cm,
LVPWd,LVPWd (.*) cm,LVPWd,cm,
LVEDV,LVEDV MOD BP (.*) ml,LVEDV,ml,
LVEDVInd,LVEDVInd MOD BP (.*) ml/m²,LVEDV Indexed,ml/m2,
LVESV,LVESV MOD BP (.*) ml,LVESV,ml,
LVESVInd,LVESVInd MOD BP (.*) ml/m²,LVESV Indexed,ml/m2,
LVMASS,LVd Mass \(ASE\) (.*) g,LV Mass,g,
LVMASSInd,LVd Mass Ind \(ASE\) (.*) g/m²,LV Mass Indexed,g/m2,
EFBP,EF Biplane (.*) %,Simpson's Biplane EF,%,
EFAuto,LVEF BiP Q (.*) %,Auto EF,%,
GLS,G peak SL Full\(Avg\) (.*) %,GLS,%,
MAPSE,,MAPSE,mm,
SPrimeSept,S' \(septal\) (.*) cm/s,S' Septal,cm/s,
SPrimeLat,S' \(lateral\) (.*) cm/s,S' Lateral,cm/s,
SPrimeAv,Mean Mitral Annular S' (.*) cm/s,S' Mean,cm/s,
3DEDV,,,,
EVel,MV E Vel (.*) cm/s,E Velocity,cm/s,
EDecT,MV DecT (.*) ms,E DecT,ms,
AVel,MV A Vel (.*) cm/s,A Velocity,cm/s,
EARatio,MV E/A Ratio (.*),E/A Ratio,,
EPrimeSept,E' Sept (.*) cm/s,E' Septal,cm/s,
EPrimeLat,E' Lat (.*) cm/s,E' Lateral,cm/s,
EEPrimeSept,E/E' Sept (.*),E/E' Septal,,
EEPrimeLat,E/E' Lat (.*),E/E' Lateral,,
EEPrimeAv,E/E' Avg (.*),E/E' Average,,
MVVmax,MV Vmax (.*) m/s,MV Vmax,m/s,
MVMeanPG,MV meanPG (.*) mmHg,MV Mean PG,mmHg,
MVVTI,MV VTI (.*) cm,MV VTI,cm,
MVPHT,MV PHT (.*) ms,MV PHT,ms,
MVAbyPHT,MVA By PHT (.*) cm²,MVA by PHT,cm2,
MVAbyVTI,MVA \(VTI\) (.*) cm²,MVA by VTI,cm2,
MRVCD,MR VCD (.*) cm,MR VC Width,cm,
MRPISA,MR Rad (.*) cm,MR PISAr,cm,
MRALSVEL,MR Als.Vel (.*) cm/s,MR Als.Vel.,cm/s,
MRVTI,MR VTI (.*) cm,MR VTI,cm,
MRRV,MR RV (.*) ml,MR RV,ml,
MRERO,MR ERO (.*) cm²,MR ERO,cm2,
LAESV,LAESV\(MOD BP\) (.*) ml,LA Volume,ml,
LAESVInd,LAESVInd MOD BP (.*) ml/m²,LA Volume Indexed,ml/m2,
LAd,LA Diam (.*) cm,LA Diameter (AP),cm,
LVOTVmax,LVOT Vmax (.*) m/s,LVOT Vmax,m/s,
LVOTMaxPG,LVOT maxPG (.*) mmHg,LVOT Max PG,mmHg,
LVOTMeanPG,LVOT meanPG (.*) mmHg,LVOT Mean PG,mmHg,
LVOTVTI,LVOT VTI (.*) cm,LVOT VTI,cm,
LVOTd,LVOT Diam (.*) cm,LVOT Diameter,cm,
LVSV,LVSV Dopp (.*) ml,LV SV,ml,
LVSVI,LVSI Dopp (.*) ml/m²,LV SV Indexed,ml/m2,
LVCO,LVCO Dopp (.*) l/min,LV Cardiac Output,l/min,
LVCI,LVCI Dopp (.*) l/minm²,LV Cardiac Index,l/min/m2,
AVVmax,AV Vmax (.*) m/s,AV Vmax,m/s,
AVMaxPG,AV maxPG (.*) mmHg,AV Max PG,mmHg,
AVMeanPG,AV meanPG (.*) mmHg,AV Mean PG,mmHg,
AVVTI,AV VTI (.*) cm,AV VTI,cm,
DVI,\bDVI\s+(\d+\.?\d*),DVI,,
AVA,AVA \(VTI\) (.*) cm²,AVA by VTI,cm2,
AVAI,AVAI \(VTI\) (.*) cm²/m²,AVAI by VTI,cm2/m2,
AVAVmax,AVA Vmax (.*) cm²,AVA by Vmax,cm2,
